treatment,baseline,age,site,outcome,prediction
0,0.89,41,north,8.39,7.422030584678904
1,0.75,42,north,10.03,8.667049897137248
0,-0.21,21,west,4.58,5.618224014128435
0,-0.62,46,south,5.99,5.558180481912826
0,-1.51,21,north,4.98,3.932374003470282
1,1.1,45,north,8.01,9.17753030731348
0,-0.18,36,west,5.98,5.9401168201388
0,-0.41,59,west,5.77,6.075766864014963
0,1.18,52,east,8.59,8.005629772822186
1,-0.9,28,north,6.64,6.263194521306402
0,0.83,58,east,7.44,7.664942507643062
0,0.3,48,west,6.99,6.7889753763779535
0,-1.04,45,west,5.31,4.994655342700513
0,-0.08,54,south,5.98,6.409383880183641
1,0.97,44,north,10.46,8.990079401247986
0,0.8,43,east,6.07,7.3430497016326965
1,1.5,32,west,8.54,9.450996622520169
1,0.34,26,west,6.65,7.833504259934822
1,3.37,55,east,13.38,12.3099428374595
0,-0.92,39,south,4.37,5.0370768367631955
1,-0.4,20,west,6.17,6.760671131562111
0,-0.06,27,north,6.28,5.925940599202447
1,-1.42,35,west,5.16,5.720915852040891
1,1.04,33,north,8.96,8.873330985286962
1,0.9,31,east,8.67,8.654046097216726
1,0.02,42,north,7.65,7.7203802757676705
1,-0.53,34,east,5.44,6.856208800491794
1,-1.5,47,north,6.22,5.84356209599653
1,-0.79,53,east,6.13,6.877490993354054
1,0.74,21,north,7.73,8.257897815138938
0,-0.21,51,south,5.6,6.1842011641187895
0,-0.43,42,north,5.59,5.7291103250103035
1,0.5,41,north,10.46,8.323982067011002
1,1.16,44,south,7.33,9.236472864344178
1,0.26,41,west,7.25,8.012748218889497
0,0.31,41,west,6.16,6.669882118385266
1,1.37,25,north,11.08,9.150350286456604
0,0.18,34,south,4.28,6.369235782321702
0,-0.31,56,north,7.55,6.148849919066555
0,0.67,52,east,7.93,7.3442578455639875
0,-0.26,27,east,5.36,5.666579059101193
0,-0.37,24,north,5.49,5.467332497046467
1,1.27,58,west,9.51,9.643244381395366
1,-0.29,23,west,7.73,6.959917693616836
1,-2.66,25,north,4.01,3.9242152534163286
1,0.35,51,north,10.33,8.318119961931847
1,-0.4,49,east,7.36,7.307782376552787
0,-0.29,54,west,7.37,6.137054263077324
1,0.45,59,north,9.73,8.598727971979901
1,-0.17,35,east,6.65,7.341925477673731
0,0.21,32,west,7.44,6.370408203337533
1,-2.02,49,south,4.72,5.206953901732627
0,-0.94,38,east,5.52,4.992274777753392
1,1.4,36,west,9.75,9.396779472468255
0,-0.02,38,west,6.86,6.1853378622191615
1,-1.67,47,east,6.08,5.623104786910465
1,-1.07,45,south,4.58,6.363457597214871
0,-0.99,56,east,5.38,5.267020682722292
0,0.1,45,west,5.91,6.473016121277663
0,-0.43,42,north,6.29,5.7291103250103035
0,-0.66,28,north,5.61,5.166721883898362
0,0.0,31,east,5.4,6.079212681231537
0,0.48,20,west,6.25,6.494155422478084
0,-0.26,20,north,6.79,5.534517724103443
0,-0.57,53,west,6.13,5.755082201935889
1,-0.42,51,east,6.84,7.319578032542018
1,0.34,44,north,9.98,8.173090549929036
0,-0.01,59,west,6.69,6.5944899442174725
1,0.77,20,north,9.55,8.277936141154449
1,-1.15,35,east,5.3,6.071053931177584
1,-0.78,58,west,7.26,6.984788595357509
1,0.77,24,north,10.0,8.353399761153161
0,-0.8,41,east,3.5,5.2304255708233045
1,1.38,48,north,9.92,9.597234178454272
0,1.41,22,north,8.26,7.737918393948274
1,1.39,31,south,9.41,9.2894818704648
1,-0.88,45,south,6.07,6.609851060311062
1,0.08,35,east,7.39,7.666127402800298
0,-0.49,56,south,7.07,5.915424532975427
1,0.92,41,east,9.65,8.868641301223636
0,1.71,48,south,6.61,8.617474234091794
1,0.87,33,north,9.42,8.652873676200896
0,0.01,47,east,6.71,6.394035238231456
1,-0.37,24,east,7.82,6.8750389825760125
0,0.65,49,north,8.68,7.261723976554827
0,-1.22,24,east,4.66,4.365045951616137
1,0.54,31,east,8.0,8.18719532503447
0,-0.91,35,south,3.31,4.974581293769544
1,0.62,45,east,9.13,8.555062611070468
1,-0.16,45,west,7.86,7.543552604675578
1,-0.39,40,north,8.86,7.150957308560743
1,-0.89,58,south,6.17,6.842139748301819
1,-0.36,55,south,6.99,7.472850114571108
1,0.56,52,west,8.1,8.609315484037843
1,1.04,49,north,9.11,9.175185465281817
1,0.53,56,north,9.08,8.645874873021368
1,1.36,42,south,7.28,9.458102594446075
1,2.54,29,east,11.1,10.743078916047654
1,-0.32,24,south,4.26,6.939879367601326
0,-0.21,55,north,9.11,6.259664784117504
0,-1.44,53,west,4.03,4.626859502495433
1,1.19,50,south,9.95,9.388572525357436
1,1.3,29,north,9.03,9.135037367419878
1,-0.87,38,south,6.16,6.490757802318375
1,0.62,51,east,7.93,8.66825804106854
1,1.22,20,south,9.22,8.861499606382269
1,0.23,24,south,6.75,7.653123602879775
1,0.85,23,north,9.85,8.438278472193986
1,0.17,35,north,8.54,7.782840095845862
0,-1.22,43,north,6.6,4.723498146610028
1,1.05,35,south,8.61,8.924030872291382
0,1.33,21,east,6.27,7.615307872908094
1,0.73,47,west,7.54,8.735443268125517
1,-0.95,51,west,5.45,6.6322699512736945
0,-0.75,46,north,6.82,5.389595480847011
1,-1.13,39,north,6.51,6.172453705186423
0,0.77,43,south,4.69,7.304145470617509
1,1.27,31,west,9.19,9.133864946404048
1,0.42,54,north,8.4,8.465494215966322
0,0.94,52,east,6.38,7.694395924700681
1,-0.87,52,east,6.6,6.754880472313873
0,0.15,56,north,7.08,6.74538146129944
1,-1.37,31,north,6.45,5.7102926170674895
0,-0.77,22,west,6.62,4.910877606844601
0,0.88,20,west,6.0,7.012878502680593
1,-0.24,52,south,6.1,7.571869323632825
1,1.21,59,west,9.69,9.584301824364669
0,0.54,29,east,5.68,6.7417570295055675
1,2.73,48,east,11.21,11.347924574137739
1,0.09,32,north,8.53,7.622497764806325
1,-1.41,31,west,5.27,5.658420309047239
0,-0.03,50,south,6.02,6.398760645210241
0,-0.96,21,east,5.01,4.645618238748732
0,0.98,54,east,8.68,7.7840000427202884
0,0.04,42,south,5.59,6.338609944248251
0,-0.14,36,south,5.57,5.991989128159052
0,-0.12,45,east,6.94,6.187718427166283
0,0.74,27,east,6.78,6.963386759607464
0,-0.45,48,south,5.29,5.816369600998249
0,0.78,45,east,7.69,7.354845357621928
1,1.05,29,north,8.73,8.81083544229331
0,-0.34,45,north,6.89,5.902420733054903
1,-0.93,53,south,5.47,6.695937915283176
1,-0.51,26,west,6.77,6.731217714504492
1,0.71,23,south,8.26,8.256725394123107
0,0.09,30,south,5.65,6.177059469277423
0,0.63,48,west,7.0,7.216921917545022
0,1.76,55,west,7.36,8.814375954114858
0,0.23,44,west,5.94,6.6227352173438
1,-0.81,40,north,6.39,6.606298074348109
