treatment,baseline,age,site,outcome,prediction
0,0.89,41,north,8.39,8.293612246109973
1,0.75,42,north,10.03,9.431621614755647
0,-0.21,21,west,4.58,5.3718926486366065
0,-0.62,46,south,5.99,4.8463330610840805
0,-1.51,21,north,4.98,4.700202311777089
1,1.1,45,north,8.01,9.957762848108834
0,-0.18,36,west,5.98,5.78891464636213
0,-0.41,59,west,5.77,6.073129288617728
0,1.18,52,east,8.59,7.996818261050876
1,-0.9,28,north,6.64,6.954845431112869
0,0.83,58,east,7.44,7.6977237640988605
0,0.3,48,west,6.99,6.709415954474191
0,-1.04,45,west,5.31,4.9091192982430965
0,-0.08,54,south,5.98,5.743146249353878
1,0.97,44,north,10.46,9.765222094595442
0,0.8,43,east,6.07,7.280701766373338
1,1.5,32,west,8.54,9.143173676237248
1,0.34,26,west,6.65,7.498859396880535
1,3.37,55,east,13.38,12.184052293649868
0,-0.92,39,south,4.37,4.283633451091885
1,-0.4,20,west,6.17,6.395095902987178
0,-0.06,27,north,6.28,6.717754038239452
1,-1.42,35,west,5.16,5.460740937054313
1,1.04,33,north,8.96,9.577812325460126
1,0.9,31,east,8.67,8.399640901117017
1,0.02,42,north,7.65,8.492092868593149
1,-0.53,34,east,5.44,6.634876424649318
1,-1.5,47,north,6.22,6.661950911266102
1,-0.79,53,east,6.13,6.779570635891933
1,0.74,21,north,7.73,8.888975639689503
0,-0.21,51,south,5.6,5.500150665529116
0,-0.43,42,north,5.59,6.619965764095113
1,0.5,41,north,10.46,9.084637779681298
1,1.16,44,south,7.33,8.379749489238035
1,0.26,41,west,7.25,7.774308569841846
0,0.31,41,west,6.16,6.545694305181138
1,1.37,25,north,11.08,9.800711478507278
0,0.18,34,south,4.28,5.573224622955577
0,-0.31,56,north,7.55,7.12759265783567
0,0.67,52,east,7.93,7.340435164416803
0,-0.26,27,east,5.36,5.512815903427235
0,-0.37,24,north,5.49,6.243093832073252
1,1.27,58,west,9.51,9.503070563959902
1,-0.29,23,west,7.73,6.6123509732184464
1,-2.66,25,north,4.01,4.6139979894184195
